City,Time,Temperature,condition
Aleppo,2023-09-27 15:00:00,305.94,clear sky
Aleppo,2023-09-27 18:00:00,301.9,clear sky
Aleppo,2023-09-27 21:00:00,297.37,clear sky
Aleppo,2023-09-28 00:00:00,295.65,clear sky
Aleppo,2023-09-28 03:00:00,294.43,clear sky
Aleppo,2023-09-28 06:00:00,299.13,clear sky
Aleppo,2023-09-28 09:00:00,304.82,clear sky
Aleppo,2023-09-28 12:00:00,306.87,clear sky
Aleppo,2023-09-28 15:00:00,304.01,clear sky
Aleppo,2023-09-28 18:00:00,299.2,clear sky
Aleppo,2023-09-28 21:00:00,296.95,clear sky
Aleppo,2023-09-29 00:00:00,294.95,clear sky
Aleppo,2023-09-29 03:00:00,294.21,clear sky
Aleppo,2023-09-29 06:00:00,299.76,clear sky
Aleppo,2023-09-29 09:00:00,304.39,clear sky
Aleppo,2023-09-29 12:00:00,304.79,clear sky
Aleppo,2023-09-29 15:00:00,300.14,clear sky
Aleppo,2023-09-29 18:00:00,295.96,clear sky
Aleppo,2023-09-29 21:00:00,294.49,clear sky
Aleppo,2023-09-30 00:00:00,293.99,clear sky
Aleppo,2023-09-30 03:00:00,293.32,clear sky
Aleppo,2023-09-30 06:00:00,297.13,clear sky
Aleppo,2023-09-30 09:00:00,302.16,clear sky
Aleppo,2023-09-30 12:00:00,303.3,clear sky
Aleppo,2023-09-30 15:00:00,298.84,clear sky
Aleppo,2023-09-30 18:00:00,295.4,clear sky
Aleppo,2023-09-30 21:00:00,294.5,clear sky
Aleppo,2023-10-01 00:00:00,293.35,clear sky
Aleppo,2023-10-01 03:00:00,292.31,clear sky
Aleppo,2023-10-01 06:00:00,296.46,clear sky
Aleppo,2023-10-01 09:00:00,301.02,clear sky
Aleppo,2023-10-01 12:00:00,302.53,clear sky
Aleppo,2023-10-01 15:00:00,298.29,clear sky
Aleppo,2023-10-01 18:00:00,294.63,clear sky
Aleppo,2023-10-01 21:00:00,293.62,clear sky
Aleppo,2023-10-02 00:00:00,292.69,clear sky
Aleppo,2023-10-02 03:00:00,291,clear sky
Aleppo,2023-10-02 06:00:00,295.42,clear sky
Aleppo,2023-10-02 09:00:00,299.49,clear sky
Aleppo,2023-10-02 12:00:00,301.1,clear sky
Aleppo,2023-09-28 09:00:00,301.09,clear sky
Aleppo,2023-09-28 12:00:00,304.38,clear sky
Aleppo,2023-09-28 15:00:00,304.64,clear sky
Aleppo,2023-09-28 18:00:00,300.22,clear sky
Aleppo,2023-09-28 21:00:00,297.25,clear sky
Aleppo,2023-09-29 00:00:00,295.6,clear sky
Aleppo,2023-09-29 03:00:00,294.7,clear sky
Aleppo,2023-09-29 06:00:00,300.11,clear sky
Aleppo,2023-09-29 09:00:00,304.72,clear sky
Aleppo,2023-09-29 12:00:00,305.15,clear sky
Aleppo,2023-09-29 15:00:00,300.38,clear sky
Aleppo,2023-09-29 18:00:00,296.59,clear sky
Aleppo,2023-09-29 21:00:00,294.75,clear sky
Aleppo,2023-09-30 00:00:00,293.96,clear sky
Aleppo,2023-09-30 03:00:00,293.01,clear sky
Aleppo,2023-09-30 06:00:00,296.94,clear sky
Aleppo,2023-09-30 09:00:00,301.81,clear sky
Aleppo,2023-09-30 12:00:00,302.59,clear sky
Aleppo,2023-09-30 15:00:00,298.48,clear sky
Aleppo,2023-09-30 18:00:00,295.1,clear sky
Aleppo,2023-09-30 21:00:00,294.45,clear sky
Aleppo,2023-10-01 00:00:00,293.21,clear sky
Aleppo,2023-10-01 03:00:00,292.82,clear sky
Aleppo,2023-10-01 06:00:00,296.63,few clouds
Aleppo,2023-10-01 09:00:00,300.79,clear sky
Aleppo,2023-10-01 12:00:00,302.33,clear sky
Aleppo,2023-10-01 15:00:00,298.21,clear sky
Aleppo,2023-10-01 18:00:00,294.84,broken clouds
Aleppo,2023-10-01 21:00:00,293.86,overcast clouds
Aleppo,2023-10-02 00:00:00,292.41,scattered clouds
Aleppo,2023-10-02 03:00:00,291.27,clear sky
Aleppo,2023-10-02 06:00:00,295.31,few clouds
Aleppo,2023-10-02 09:00:00,299.62,clear sky
Aleppo,2023-10-02 12:00:00,301.19,clear sky
Aleppo,2023-10-02 15:00:00,297.3,clear sky
Aleppo,2023-10-02 18:00:00,293.4,clear sky
Aleppo,2023-10-02 21:00:00,292.4,clear sky
Aleppo,2023-10-03 00:00:00,291.39,few clouds
Aleppo,2023-10-03 03:00:00,290.76,few clouds
Aleppo,2023-10-03 06:00:00,295.07,few clouds
Aleppo,2023-09-28 09:00:00,304.89,clear sky
Aleppo,2023-09-28 12:00:00,305.59,clear sky
Aleppo,2023-09-28 15:00:00,304.72,clear sky
Aleppo,2023-09-28 18:00:00,300.22,clear sky
Aleppo,2023-09-28 21:00:00,297.25,clear sky
Aleppo,2023-09-29 00:00:00,295.6,clear sky
Aleppo,2023-09-29 03:00:00,294.7,clear sky
Aleppo,2023-09-29 06:00:00,300.11,clear sky
Aleppo,2023-09-29 09:00:00,304.72,clear sky
Aleppo,2023-09-29 12:00:00,305.15,clear sky
Aleppo,2023-09-29 15:00:00,300.38,clear sky
Aleppo,2023-09-29 18:00:00,296.59,clear sky
Aleppo,2023-09-29 21:00:00,294.75,clear sky
Aleppo,2023-09-30 00:00:00,293.96,clear sky
Aleppo,2023-09-30 03:00:00,293.01,clear sky
Aleppo,2023-09-30 06:00:00,296.94,clear sky
Aleppo,2023-09-30 09:00:00,301.81,clear sky
Aleppo,2023-09-30 12:00:00,302.59,clear sky
Aleppo,2023-09-30 15:00:00,298.48,clear sky
Aleppo,2023-09-30 18:00:00,295.1,clear sky
